codigo_cliente,id_cliente,fecha_saldo,importe_operativa,moneda,tipo_operacion,max_saldo,fecha_mas_reciente,saldo_final,nombre,apellido1,apellido2,direccion,fecha_nacimiento,dni,nombre_completo,menor_30
18708230V,242,2023-07-05,5752.44,USD,Tarjeta,9601.8,2023-07-05,75651.73,,,,,,,"",NO
30470492G,183,2023-03-19,2753.63,EUR,Tarjeta,8945.44,2023-03-19,62963.16,,,,,,,"",NO
36709559B,65,2025-05-04,6262.61,GBP,Retirada Efectivo,9605.38,2025-05-04,56490.38,,,,,,,"",NO
45303894W,225,2022-08-24,-4900.55,JPY,Bizum,8821.78,2022-08-24,54897.74,,,,,,,"",NO
43518692D,89,2022-02-22,2284.89,USD,Tarjeta,8445.96,2022-02-22,36836.29,,,,,,,"",NO
38328614O,152,2023-12-08,8917.96,JPY,Tarjeta,8917.96,2023-12-08,49660.29,,,,,,,"",NO
80354341P,229,2023-11-17,-9295.72,EUR,Transferencia,9926.58,2023-11-17,34083.18,,,,,,,"",NO
39492750X,164,2022-03-10,4061.43,USD,Retirada Efectivo,9482.89,2022-03-10,5871.16,,,,,,,"",NO
28871010F,303,2024-11-17,2466.93,MXN,Tarjeta,9668.6,2024-11-17,41512.62,,,,,,,"",NO
82172779I,142,2022-11-09,6977.73,USD,Tarjeta,9680.38,2023-07-10,104264.01,,,,,,,"",NO
77749295J,1,2022-01-19,-6856.7,USD,Bizum,9678.19,2022-01-19,45873.45,,,,,,,"",NO
83296684N,30,2023-04-22,4952.42,EUR,Retirada Efectivo,9671.45,2023-04-22,49934.99,,,,,,,"",NO
43550091Y,415,2024-06-17,923.67,GBP,Bizum,9504.65,2024-06-17,40719.89,,,,,,,"",NO
24010733S,172,2022-07-10,-5798.55,EUR,Transferencia,9250.88,2022-07-10,30365.53,,,,,,,"",NO
53666983I,100,2022-03-13,-6843.76,MXN,Transferencia,8189.19,2022-03-13,35228.61,,,,,,,"",NO
17507785F,396,2025-03-01,9053.84,JPY,Tarjeta,9053.84,2025-03-01,42847.68,,,,,,,"",NO
29668681L,466,2024-01-31,-5145.8,JPY,Transferencia,9929.14,2024-01-31,52679.16,,,,,,,"",NO
23312747J,452,2022-11-20,7044.08,GBP,Retirada Efectivo,9422.95,2022-11-20,47284.35,,,,,,,"",NO
77673987D,190,2023-06-21,-5667.02,EUR,Bizum,9097.85,2023-06-21,54510.34,,,,,,,"",NO
38609024P,172,2022-06-05,-1051.52,GBP,Bizum,9250.88,2022-06-05,51217.28,,,,,,,"",NO
45641315L,373,2023-09-02,2230.69,USD,Bizum,9671.13,2023-09-02,64383.77,,,,,,,"",NO
14720338Z,405,2023-12-11,516.75,EUR,Tarjeta,9796.69,2023-12-11,20221.04,Jorge,Suárez,Cordero,Av. del Sol 10,1994-02-02,10111213T,Jorge Suárez Cordero,NO
67458473D,477,2022-07-09,-2784.71,EUR,Bizum,7278.83,2022-07-09,7124.09,,,,,,,"",NO
84601530E,104,2024-08-22,4275.43,JPY,Retirada Efectivo,9518.07,2024-08-22,43149.41,,,,,,,"",NO
75857720H,376,2024-01-14,8881.29,JPY,Tarjeta,9880.16,2024-01-14,76114.6,,,,,,,"",NO
63646163V,309,2022-10-26,6923.06,USD,Bizum,9968.04,2022-10-26,51004.64,,,,,,,"",NO
84866182V,301,2024-03-11,9386.17,GBP,Tarjeta,9386.17,2024-03-11,98611.34,,,,,,,"",NO
46491037V,35,2024-05-14,7734.02,USD,Retirada Efectivo,9622.03,2024-05-14,47601.55,,,,,,,"",NO
66878315D,397,2025-10-18,5609.95,JPY,Bizum,7975.14,2025-10-18,17445.19,,,,,,,"",NO
96244738D,4,2023-06-14,3051.66,USD,Tarjeta,9552.81,2023-06-14,78462.41,,,,,,,"",NO
94869331H,129,2023-09-01,8706.73,JPY,Tarjeta,9381.45,2023-09-01,26177.63,Pablo,Del Castillo,Saiz,Av. del Jardín 9,1984-03-03,15161718X,Pablo Del Castillo Saiz,NO
52874324C,202,2025-08-24,7190.23,USD,Bizum,9520.23,2025-08-24,22837.96,,,,,,,"",NO
17398635D,233,2024-08-06,-4036.9,USD,Transferencia,9972.99,2024-08-06,46335.85,,,,,,,"",NO
81810281V,110,2024-08-29,-7021.5,EUR,Bizum,9186.48,2024-08-29,40264.24,,,,,,,"",NO
30495588E,158,2025-01-02,-9063.03,USD,Bizum,9518.45,2025-01-02,24785.89,,,,,,,"",NO
75048740P,297,2025-04-03,-2517.83,USD,Transferencia,9779.74,2025-04-03,33881.78,,,,,,,"",NO
74344108K,416,2024-07-18,613.41,MXN,Bizum,9966.43,2024-07-18,70336.93,,,,,,,"",NO
76381793S,301,2024-06-03,7332.9,MXN,Tarjeta,9386.17,2024-06-03,68039.08,,,,,,,"",NO
14788048W,186,2022-10-14,2159.23,JPY,Tarjeta,9688.22,2022-10-14,66148.55,,,,,,,"",NO
72534705Y,239,2023-02-17,4967.8,MXN,Retirada Efectivo,8127.24,2023-02-17,34340.6,,,,,,,"",NO
47337240M,143,2025-11-10,-8798.76,EUR,Bizum,9828.26,2025-11-10,46459.6,,,,,,,"",NO
38760561N,351,2023-08-26,-2475.16,USD,Transferencia,9515.67,2023-08-26,50691.06,,,,,,,"",NO
39492750X,252,2024-01-07,7371.62,EUR,Tarjeta,9119.56,2024-01-07,5871.16,,,,,,,"",NO
90792426C,102,2025-01-02,9143.82,GBP,Retirada Efectivo,9889.29,2025-01-02,26317.47,,,,,,,"",NO
61800130C,355,2022-04-05,6803.67,MXN,Retirada Efectivo,9005.49,2022-04-05,55749.39,Roberto,Vega,Ortega,Calle Jardín 12,1989-05-17,89012345H,Roberto Vega Ortega,NO
36182760N,204,2023-01-27,2889.32,MXN,Retirada Efectivo,9657.67,2023-01-27,63536.66,,,,,,,"",NO
60157118H,287,2023-06-30,9103.45,MXN,Retirada Efectivo,9704.64,2023-06-30,66914.24,,,,,,,"",NO
69195001F,326,2023-05-30,1936.41,EUR,Tarjeta,8280.29,2023-05-30,10592.73,,,,,,,"",NO
53641418E,176,2025-01-22,1298.7,GBP,Retirada Efectivo,9626.4,2025-01-22,7167.99,,,,,,,"",NO
64637198O,137,2023-09-22,3434.49,JPY,Tarjeta,9759.88,2023-09-22,25223.39,,,,,,,"",NO
44027737F,286,2023-09-17,5991.54,EUR,Transferencia,8458.42,2023-09-17,69639.22,,,,,,,"",NO
48760916U,340,2023-04-23,4313.29,EUR,Retirada Efectivo,8996.59,2023-04-23,24886.01,,,,,,,"",NO
54062091X,394,2025-05-21,8096.59,JPY,Retirada Efectivo,9791.63,2025-05-21,75432.39,,,,,,,"",NO
18708230V,346,2022-07-20,7591.13,MXN,Tarjeta,9048.63,2022-07-20,75651.73,,,,,,,"",NO
64182663N,308,2022-12-31,-2732.78,GBP,Transferencia,9912.22,2023-08-11,69439.03,,,,,,,"",NO
27858533P,266,2025-11-20,4985.74,JPY,Retirada Efectivo,9555.16,2025-11-20,11665.85,,,,,,,"",NO
18760770L,390,2025-07-04,9735.88,EUR,Tarjeta,9735.88,2025-07-04,39325.18,,,,,,,"",NO
93295656Z,300,2022-03-15,8065.82,MXN,Transferencia,9956.81,2022-03-15,48289.33,,,,,,,"",NO
99706495F,229,2024-01-22,7734.9,GBP,Transferencia,9926.58,2024-01-22,56434.79,,,,,,,"",NO
26744281U,203,2023-07-27,4206.01,GBP,Transferencia,9516.05,2023-07-27,37087.64,,,,,,,"",NO
84866182V,30,2025-12-29,6128.91,USD,Retirada Efectivo,9671.45,2025-12-29,98611.34,,,,,,,"",NO
38428479W,469,2022-05-02,1257.09,MXN,Bizum,9441.67,2022-05-02,37389.05,,,,,,,"",NO
23166003I,57,2025-03-23,8797.93,GBP,Retirada Efectivo,9655.15,2025-03-23,110315.63,,,,,,,"",NO
26613086K,299,2025-07-14,1738.9,EUR,Retirada Efectivo,7536.26,2025-07-14,96466.04,,,,,,,"",NO
13181753F,56,2023-11-16,4866.05,GBP,Tarjeta,9564.02,2023-11-16,74790.01,,,,,,,"",NO
28638776H,53,2024-07-09,162.04,EUR,Bizum,9292.06,2024-07-09,78634.3,,,,,,,"",NO
11534627P,483,2022-11-01,197.31,JPY,Transferencia,9614.8,2022-11-01,34309.43,,,,,,,"",NO
88542078V,116,2024-11-02,6853.91,MXN,Bizum,9685.91,2024-11-02,44130.69,,,,,,,"",NO
25243212F,442,2023-11-25,662.51,USD,Retirada Efectivo,9856.03,2023-11-25,66390.25,,,,,,,"",NO
49397986U,406,2025-05-07,7570.36,EUR,Tarjeta,9699.07,2025-05-07,94914.52,,,,,,,"",NO
30316637J,220,2023-01-28,-8374.81,GBP,Transferencia,9626.41,2023-01-28,58680.78,,,,,,,"",NO
55051944N,164,2023-09-27,4185.51,EUR,Retirada Efectivo,9482.89,2023-09-27,47122.42,,,,,,,"",NO
82524490J,274,2024-07-25,-3507.57,MXN,Bizum,9534.18,2024-07-25,60322.25,,,,,,,"",NO
47253844X,255,2022-04-16,4135.24,JPY,Retirada Efectivo,9575.56,2022-04-16,26623.64,,,,,,,"",NO
94675177L,105,2023-12-02,4113.9,MXN,Tarjeta,8231.69,2023-12-02,77858.62,,,,,,,"",NO
21084032Y,115,2022-01-31,-5090.71,USD,Transferencia,9015.78,2022-01-31,41297.49,,,,,,,"",NO
85046659W,237,2022-06-22,7912.69,JPY,Transferencia,8504.39,2022-06-22,5257.11,,,,,,,"",NO
40063188Y,11,2024-08-17,6715.55,USD,Tarjeta,9845.62,2024-08-17,65514.16,,,,,,,"",NO
33922669W,284,2024-12-16,1496.97,MXN,Tarjeta,9450.97,2024-12-16,42273.8,,,,,,,"",NO
35582626G,309,2025-11-30,-7396.01,GBP,Transferencia,9968.04,2025-11-30,43232.11,,,,,,,"",NO
60643924G,405,2023-11-02,2347.43,USD,Transferencia,9796.69,2023-11-02,76437.74,,,,,,,"",NO
14787574E,361,2025-06-02,4104.12,GBP,Retirada Efectivo,9839.86,2025-06-02,46561.77,,,,,,,"",NO
35994353A,370,2023-08-08,-6972.2,JPY,Bizum,7936.95,2023-08-08,38616.92,,,,,,,"",NO
15190630Z,103,2025-11-08,871.26,GBP,Retirada Efectivo,9716.25,2025-11-08,21871.42,,,,,,,"",NO
28192295U,213,2022-03-04,2539.49,GBP,Transferencia,7835.49,2022-03-04,32325.9,,,,,,,"",NO
95067516H,449,2022-09-11,-3624.43,JPY,Bizum,9582.64,2022-09-11,68007.43,,,,,,,"",NO
98432182G,132,2022-10-10,7432.08,JPY,Tarjeta,9739.78,2022-10-10,79447.93,Álvaro,Herrera,Bravo,Calle del Viento 2,1986-01-01,66778899P,Álvaro Herrera Bravo,NO
71933846X,293,2023-01-03,6239.16,USD,Retirada Efectivo,9772.35,2023-01-03,71298.87,,,,,,,"",NO
82267962O,416,2023-01-15,-4848.91,USD,Bizum,9966.43,2023-01-15,38803.88,,,,,,,"",NO
54188585W,287,2023-12-25,8958.98,GBP,Transferencia,9704.64,2023-12-25,83400.79,,,,,,,"",NO
18194135Z,147,2025-11-07,2427.74,EUR,Retirada Efectivo,9765.05,2025-11-07,83136.02,,,,,,,"",NO
71811704W,36,2024-01-28,4085.82,EUR,Transferencia,9074.59,2024-01-28,93947.96,,,,,,,"",NO
72000519G,356,2023-11-16,8372.33,MXN,Tarjeta,9285.92,2023-11-16,45415.7,,,,,,,"",NO
21755286J,329,2024-09-01,-1354.5,USD,Transferencia,9786.82,2024-09-01,7480.61,,,,,,,"",NO
17507785F,287,2022-06-24,2936.47,JPY,Tarjeta,9704.64,2022-06-24,42847.68,,,,,,,"",NO
13680776D,127,2022-05-08,8086.47,USD,Retirada Efectivo,9675.37,2022-05-08,82708.83,Carlos,Torres,Ramírez,Paseo del Río 18,1983-02-25,45678901D,Carlos Torres Ramírez,NO
23319313J,244,2023-06-05,-3995.24,GBP,Bizum,9478.27,2023-06-05,14187.33,Inés,Aguilar,Del Valle,Calle del Parque 6,1992-07-07,16171819Y,Inés Aguilar Del Valle,NO
14552919V,204,2022-04-18,1992.47,JPY,Retirada Efectivo,9657.67,2022-04-18,28534.19,Nuria,Delgado,Romero,Calle del Sur 10,1987-02-02,20212223C,Nuria Delgado Romero,NO
31308169C,239,2022-11-05,5545.54,MXN,Bizum,8127.24,2022-11-05,137024.74,,,,,,,"",NO
77401638B,445,2025-09-10,2067.07,JPY,Bizum,8269.13,2025-09-10,59935.28,,,,,,,"",NO
15492743T,285,2023-04-26,5347.04,USD,Transferencia,9930.83,2023-04-26,61630.12,,,,,,,"",NO
50916614C,282,2024-10-14,-9320.54,MXN,Transferencia,9794.34,2024-10-14,34701.28,,,,,,,"",NO
46950921R,339,2023-12-11,-1489.28,GBP,Transferencia,9944.63,2023-12-11,56012.08,,,,,,,"",NO
53694203X,7,2023-04-01,3203.35,MXN,Transferencia,9694.15,2023-04-01,45962.68,,,,,,,"",NO
76008523U,401,2024-02-29,-6512.44,GBP,Bizum,9298.71,2024-04-05,36931.6,,,,,,,"",NO
96043651D,279,2023-06-09,631.74,EUR,Retirada Efectivo,9783.81,2023-06-09,13089.02,,,,,,,"",NO
87761418L,364,2023-08-26,4682.72,MXN,Tarjeta,9812.91,2023-08-26,32505.84,,,,,,,"",NO
21755286J,298,2022-09-16,-7935.47,USD,Bizum,9163.5,2022-09-16,7480.61,,,,,,,"",NO
43103639C,104,2022-03-14,6113.09,EUR,Retirada Efectivo,9518.07,2022-03-14,-18659.17,,,,,,,"",NO
87291434H,186,2023-01-08,2804.72,JPY,Transferencia,9688.22,2023-01-08,121539.31,,,,,,,"",NO
93295656Z,303,2022-04-22,431.11,MXN,Transferencia,9668.6,2022-04-22,48289.33,,,,,,,"",NO
65377011G,329,2023-06-04,7232.98,JPY,Tarjeta,9786.82,2023-06-04,47294.38,,,,,,,"",NO
45641315L,430,2022-07-09,-8208.41,GBP,Bizum,9921.27,2022-07-09,64383.77,,,,,,,"",NO
55051944N,347,2024-03-28,9799.54,EUR,Retirada Efectivo,9799.54,2024-03-28,47122.42,,,,,,,"",NO
98378011P,406,2024-07-10,8437.84,MXN,Retirada Efectivo,9699.07,2024-07-10,55511.63,Alicia,Garrido,Santos,Calle del Norte 3,1989-06-06,18192021A,Alicia Garrido Santos,NO
38760561N,330,2022-06-16,7018.98,EUR,Retirada Efectivo,9661.95,2022-06-16,50691.06,,,,,,,"",NO
72534705Y,443,2025-01-31,-9046.83,GBP,Bizum,9903.48,2025-01-31,34340.6,,,,,,,"",NO
65932825L,251,2022-06-20,8410.42,EUR,Tarjeta,8410.42,2022-06-20,27829.68,,,,,,,"",NO
69130886Z,200,2025-03-17,5358.51,GBP,Tarjeta,9859.67,2025-03-17,22996.38,,,,,,,"",NO
32039814E,96,2025-11-16,5635.1,EUR,Tarjeta,9210.57,2025-11-16,94330.69,,,,,,,"",NO
16027492S,43,2023-09-23,5432.33,GBP,Bizum,9529.81,2023-09-23,65435.02,Clara,Alonso,Reyes,Av. del Bosque 4,1987-03-22,90123456I,Clara Alonso Reyes,NO
46950921R,58,2022-06-07,2037.75,GBP,Tarjeta,9651.56,2022-06-07,56012.08,,,,,,,"",NO
24010733S,217,2025-07-06,-8254.37,MXN,Bizum,9094.12,2025-07-06,30365.53,,,,,,,"",NO
61834894Z,8,2025-05-24,8505.77,EUR,Tarjeta,9938.74,2025-05-24,67205.22,,,,,,,"",NO
97965447G,269,2022-09-12,3152.31,JPY,Tarjeta,9956.46,2022-09-12,-313.37,,,,,,,"",NO
48108982X,37,2022-02-28,3694.5,MXN,Retirada Efectivo,9854.34,2022-02-28,52921.13,,,,,,,"",NO
40129809S,416,2025-10-13,-8849.82,GBP,Transferencia,9966.43,2025-10-13,67657.96,,,,,,,"",NO
64182663N,246,2023-05-14,8927.65,EUR,Transferencia,9644.45,2023-05-14,69439.03,,,,,,,"",NO
11194048D,383,2024-09-16,-9933.78,JPY,Transferencia,9796.61,2024-09-16,3253.81,,,,,,,"",NO
84682736K,186,2023-08-09,1156.96,EUR,Tarjeta,9688.22,2023-08-09,26796.55,,,,,,,"",NO
93250705D,152,2024-10-08,4802.51,GBP,Tarjeta,8917.96,2024-10-08,76597.25,,,,,,,"",NO
40747789Z,420,2022-01-05,6194.93,EUR,Bizum,8201.08,2022-01-05,65670.69,,,,,,,"",NO
46950921R,234,2022-08-23,4477.74,GBP,Retirada Efectivo,9819.56,2022-08-23,56012.08,,,,,,,"",NO
64475884N,151,2023-05-03,3935.83,MXN,Retirada Efectivo,9438.76,2023-05-03,26860.42,,,,,,,"",NO
60643924G,124,2025-11-17,9036.57,GBP,Tarjeta,9036.57,2025-11-17,76437.74,,,,,,,"",NO
19634185O,77,2024-01-25,888.91,MXN,Bizum,9689.14,2024-01-25,83639.45,,,,,,,"",NO
59372522W,219,2024-01-17,2849.38,JPY,Retirada Efectivo,9957.5,2024-01-17,78663.8,,,,,,,"",NO
36709559B,105,2023-08-02,2710.72,EUR,Retirada Efectivo,8231.69,2023-08-02,56490.38,,,,,,,"",NO
81971749N,301,2022-10-09,-8848.75,JPY,Bizum,9386.17,2022-10-09,36545.66,,,,,,,"",NO
89814350Z,346,2024-02-04,3714.22,GBP,Transferencia,9048.63,2025-10-21,82110.57,,,,,,,"",NO
69426294I,370,2023-04-15,-844.45,USD,Bizum,7936.95,2023-04-15,11623.32,,,,,,,"",NO
13501499Y,452,2025-03-23,-7879.37,JPY,Bizum,9422.95,2025-03-23,-38273.22,,,,,,,"",NO
75637771O,188,2023-07-16,5464.01,GBP,Tarjeta,9689.21,2023-07-16,32331.16,,,,,,,"",NO
88180700N,417,2023-04-17,8582.67,EUR,Tarjeta,9326.76,2023-04-17,42527.61,,,,,,,"",NO
62278662B,115,2025-09-07,-9629.43,USD,Transferencia,9015.78,2025-10-17,58922.13,,,,,,,"",NO
18415541O,175,2022-09-12,8815.08,MXN,Transferencia,8954.21,2022-09-12,70920.3,,,,,,,"",NO
33600288R,165,2024-01-10,4584.3,JPY,Tarjeta,9450.06,2024-01-10,91711.27,,,,,,,"",NO
88976515X,222,2024-07-11,7745.2,JPY,Retirada Efectivo,9393.71,2024-07-11,36342.2,Daniel,Ruiz,Fernández,Av. del Mar 22,2004-07-19,23456789B,Daniel Ruiz Fernández,SI
30735701E,350,2025-11-01,-4156.05,GBP,Bizum,9457.25,2025-11-01,17551.23,,,,,,,"",NO
83420198X,343,2025-11-06,-6803.5,USD,Bizum,9798.55,2025-11-06,55271.34,Fernando,Crespo,Del Río,Av. del Norte 7,1990-05-05,13141516V,Fernando Crespo Del Río,NO
15501170S,454,2025-06-15,2139.38,USD,Retirada Efectivo,9693.82,2025-06-15,16366.36,,,,,,,"",NO
18899942V,112,2023-11-27,1060.67,JPY,Transferencia,8463.42,2023-11-27,68275.09,,,,,,,"",NO
83130518C,408,2024-06-25,3720.11,EUR,Tarjeta,8333.09,2024-06-25,51406.52,,,,,,,"",NO
40063188Y,468,2023-06-14,8181.42,JPY,Tarjeta,8634.6,2023-06-14,65514.16,,,,,,,"",NO
90792426C,192,2024-02-07,2279.7,GBP,Retirada Efectivo,9794.03,2024-02-07,26317.47,,,,,,,"",NO
50020502X,80,2022-04-10,-2810.43,MXN,Bizum,9825.21,2022-04-10,35702.8,,,,,,,"",NO
13064923M,277,2025-10-06,4194.44,GBP,Tarjeta,9366.24,2025-10-06,39168.43,,,,,,,"",NO
83130518C,312,2022-07-22,6784.38,JPY,Transferencia,9153.0,2022-07-22,51406.52,,,,,,,"",NO
61800130C,304,2023-09-28,-6044.02,EUR,Bizum,9282.54,2023-09-28,55749.39,Roberto,Vega,Ortega,Calle Jardín 12,1989-05-17,89012345H,Roberto Vega Ortega,NO
13385073N,279,2025-05-20,8421.43,EUR,Bizum,9783.81,2025-05-20,59035.39,,,,,,,"",NO
40342482R,256,2023-09-30,6711.73,USD,Tarjeta,9709.18,2023-09-30,50707.04,,,,,,,"",NO
64853798V,291,2023-01-21,240.34,MXN,Bizum,6727.78,2023-01-21,52355.18,Raquel,Esteban,Quintero,Calle del Campo 4,1986-11-11,14151617W,Raquel Esteban Quintero,NO
16934936T,355,2023-06-15,1928.11,JPY,Tarjeta,9005.49,2023-06-15,37563.55,,,,,,,"",NO
97991887J,114,2024-02-25,2234.32,USD,Tarjeta,9477.42,2024-02-25,62463.51,,,,,,,"",NO
72471710F,31,2024-05-15,3074.69,JPY,Retirada Efectivo,9625.58,2024-05-15,133316.13,,,,,,,"",NO
16914409O,215,2022-06-03,-2099.97,USD,Transferencia,9622.84,2022-06-03,60651.12,,,,,,,"",NO
71286311E,179,2022-12-03,9900.83,GBP,Retirada Efectivo,9900.83,2022-12-03,65527.94,,,,,,,"",NO
84310508D,322,2025-09-20,4599.6,JPY,Transferencia,8149.87,2025-09-20,60555.46,,,,,,,"",NO
66886990G,97,2022-07-13,1435.78,MXN,Retirada Efectivo,9724.03,2022-07-13,53604.24,,,,,,,"",NO
92949427I,131,2023-02-11,759.96,GBP,Retirada Efectivo,9465.07,2023-02-11,74035.53,,,,,,,"",NO
81953241J,490,2023-11-07,5024.13,USD,Tarjeta,9166.5,2023-11-07,43256.81,,,,,,,"",NO
35994353A,239,2024-03-28,3546.01,JPY,Bizum,8127.24,2024-03-28,38616.92,,,,,,,"",NO
55183741Y,197,2025-08-16,7193.2,JPY,Tarjeta,8748.12,2025-08-16,49184.9,,,,,,,"",NO
62278662B,278,2025-09-18,-314.19,EUR,Transferencia,9444.33,2025-09-18,58922.13,,,,,,,"",NO
24442968M,292,2022-08-27,8850.31,MXN,Retirada Efectivo,9289.6,2022-08-27,65296.65,,,,,,,"",NO
53654648M,36,2025-06-22,6943.7,JPY,Retirada Efectivo,9074.59,2025-06-22,72118.53,,,,,,,"",NO
30735701E,47,2024-08-29,-7450.59,GBP,Transferencia,8706.96,2024-08-29,17551.23,,,,,,,"",NO
43103639C,263,2022-08-31,-8101.05,USD,Transferencia,8763.0,2022-08-31,-18659.17,,,,,,,"",NO
93295656Z,136,2022-05-08,5235.61,USD,Tarjeta,8258.51,2022-05-08,48289.33,,,,,,,"",NO
47253844X,173,2025-04-18,-5702.62,EUR,Bizum,7939.43,2025-04-18,26623.64,,,,,,,"",NO
84601530E,297,2023-03-02,3122.95,EUR,Retirada Efectivo,9779.74,2023-03-02,43149.41,,,,,,,"",NO
65932825L,270,2023-05-12,4075.13,USD,Transferencia,9732.91,2023-05-12,27829.68,,,,,,,"",NO
13064923M,495,2023-11-05,8436.88,JPY,Retirada Efectivo,8482.78,2024-09-06,39168.43,,,,,,,"",NO
43518692D,251,2023-04-21,6992.44,EUR,Retirada Efectivo,8410.42,2023-04-21,36836.29,,,,,,,"",NO
21035093C,164,2022-04-21,9246.93,JPY,Tarjeta,9482.89,2022-04-21,113924.84,,,,,,,"",NO
26574180I,193,2025-03-14,3955.87,GBP,Tarjeta,9193.76,2025-03-14,61063.82,,,,,,,"",NO
21035093C,475,2023-10-28,3174.15,EUR,Tarjeta,8419.0,2023-10-28,113924.84,,,,,,,"",NO
30316637J,73,2023-06-28,-6657.27,EUR,Bizum,9067.8,2023-11-30,58680.78,,,,,,,"",NO
93250705D,281,2022-02-18,1776.69,EUR,Transferencia,8888.34,2022-02-18,76597.25,,,,,,,"",NO
88976515X,344,2025-03-20,139.56,USD,Retirada Efectivo,9695.99,2025-03-20,36342.2,Daniel,Ruiz,Fernández,Av. del Mar 22,2004-07-19,23456789B,Daniel Ruiz Fernández,SI
41214048J,158,2022-11-28,2239.75,EUR,Tarjeta,9518.45,2022-11-28,47929.81,,,,,,,"",NO
69130886Z,319,2024-04-16,2247.38,USD,Retirada Efectivo,9755.94,2024-04-16,22996.38,,,,,,,"",NO
22268287J,344,2024-05-02,-6888.9,JPY,Bizum,9695.99,2024-05-02,24780.84,,,,,,,"",NO
19447051Q,290,2022-03-12,8087.91,EUR,Retirada Efectivo,9477.06,2022-03-12,60839.41,,,,,,,"",NO
27307581P,398,2024-05-07,7673.53,USD,Tarjeta,9951.88,2024-05-07,50828.48,,,,,,,"",NO
47186428O,239,2022-06-07,-4727.41,USD,Bizum,8127.24,2023-04-08,87595.99,,,,,,,"",NO
64646912J,436,2025-12-01,-6250.66,MXN,Bizum,9113.07,2025-12-01,53150.99,,,,,,,"",NO
57340126U,33,2025-12-18,3515.61,USD,Bizum,9677.9,2025-12-18,59015.32,,,,,,,"",NO
38349917E,307,2023-03-06,-766.38,EUR,Bizum,8106.97,2023-03-06,91860.76,,,,,,,"",NO
36378812Z,23,2024-06-14,-1823.3,JPY,Bizum,8764.36,2024-06-14,47289.25,Miguel,Cano,Luna,Calle del Río 8,1992-03-03,44556677N,Miguel Cano Luna,NO
72794896C,175,2022-02-11,2434.43,USD,Tarjeta,8954.21,2022-02-11,36109.85,,,,,,,"",NO
33168781D,67,2022-04-28,9224.11,GBP,Retirada Efectivo,9224.11,2022-04-28,99555.53,,,,,,,"",NO
40129809S,360,2023-02-13,2310.62,USD,Bizum,8869.32,2023-02-13,67657.96,,,,,,,"",NO
87291434H,253,2023-04-09,1160.11,EUR,Tarjeta,9905.63,2023-04-09,121539.31,,,,,,,"",NO
10278500S,194,2024-12-10,3368.02,JPY,Tarjeta,9960.18,2024-12-10,43451.66,,,,,,,"",NO
93616609W,279,2022-10-12,280.75,JPY,Retirada Efectivo,9783.81,2022-10-12,48246.52,,,,,,,"",NO
45303894W,113,2025-08-21,2775.07,EUR,Tarjeta,9356.04,2025-08-21,54897.74,,,,,,,"",NO
64940056Z,131,2023-09-25,9465.07,JPY,Tarjeta,9465.07,2023-09-25,67121.81,,,,,,,"",NO
87291434H,148,2024-07-01,2761.71,JPY,Bizum,9879.82,2024-07-01,121539.31,,,,,,,"",NO
52305435V,63,2022-02-17,-4304.11,EUR,Bizum,9865.53,2022-02-21,122881.71,,,,,,,"",NO
20645306X,147,2025-10-15,7398.85,USD,Retirada Efectivo,9765.05,2025-10-15,4046.54,,,,,,,"",NO
46950921R,411,2023-06-01,9813.86,JPY,Retirada Efectivo,9813.86,2023-06-01,56012.08,,,,,,,"",NO
87761418L,452,2023-01-11,4093.21,USD,Transferencia,9422.95,2023-01-11,32505.84,,,,,,,"",NO
17507785F,152,2024-11-13,166.26,USD,Retirada Efectivo,8917.96,2024-11-13,42847.68,,,,,,,"",NO
21962888W,350,2024-02-24,7834.07,USD,Transferencia,9457.25,2024-02-24,44324.05,,,,,,,"",NO
43478196F,197,2024-01-15,8748.12,MXN,Tarjeta,8748.12,2024-01-15,49545.18,,,,,,,"",NO
33922669W,63,2024-06-27,5998.95,GBP,Retirada Efectivo,9865.53,2024-06-27,42273.8,,,,,,,"",NO
47253844X,385,2025-10-01,6640.11,JPY,Retirada Efectivo,9698.39,2025-10-01,26623.64,,,,,,,"",NO
21755286J,276,2025-10-15,-9367.2,EUR,Bizum,9918.86,2025-10-15,7480.61,,,,,,,"",NO
93250705D,349,2024-08-18,684.72,USD,Retirada Efectivo,9155.02,2024-08-18,76597.25,,,,,,,"",NO
88180700N,245,2023-11-21,-2648.56,USD,Transferencia,8556.88,2023-11-21,42527.61,,,,,,,"",NO
19634185O,75,2023-06-17,3735.38,GBP,Retirada Efectivo,9810.49,2023-06-17,83639.45,,,,,,,"",NO
98398623E,471,2023-03-06,5833.34,JPY,Retirada Efectivo,9332.13,2023-03-06,67870.15,,,,,,,"",NO
66954887T,277,2025-08-05,3810.48,EUR,Tarjeta,9366.24,2025-08-05,47946.57,,,,,,,"",NO
93295656Z,433,2024-10-01,407.61,EUR,Retirada Efectivo,8850.51,2024-10-01,48289.33,,,,,,,"",NO
78776730O,279,2024-08-21,312.49,JPY,Transferencia,9783.81,2024-08-21,37728.49,,,,,,,"",NO
42913560A,443,2025-07-17,3157.88,USD,Transferencia,9903.48,2025-07-17,49917.31,,,,,,,"",NO
